aid,wechatFlag,restaurant_province,restaurant_city_level
2743350,Y,zhejiang,1
2743352,Y,jiangsu,1
2743354,Y,zhejiang,1
2743356,N,sichuan,2
2743357,Y,shanghai,1
2743358,N,zhejiang,1
2743359,N,zhejiang,1
